lev7 m1 continue mci0 mask0 lm0 mum0, muum-1, mui0,, mm-1, mi-1
fill sz1 level7 m0,0 i0,0 o0,0 high0,1 low0,0 mset255,255
fill sz2 level7 m0,1 i0,0 o0,0 high0,1 low0,0 mset255,255
fill sz3 level7 m0,0 i64,0 o0,0 high0,1 low0,0 mset255,255
fill sz4 level7 m0,1 i64,0 o0,0 high0,1 low0,0 mset255,255
fill sz5 level7 m0,0 i0,1 o0,0 high0,1 low0,0 mset255,255
fill sz6 level7 m0,1 i0,1 o0,0 high0,1 low0,0 mset255,255
fill sz7 level7 m0,0 i128,0 o0,0 high0,1 low0,0 mset255,255
fill sz8 level7 m0,1 i128,0 o0,0 high0,1 low0,0 mset255,255
fill sz9 level7 m0,0 i192,0 o0,0 high0,1 low0,0 mset255,255
fill sz10 level7 m0,1 i192,0 o0,0 high0,1 low0,0 mset255,255
fill sz11 level7 m0,0 i128,1 o0,0 high0,1 low0,0 mset255,255
fill sz12 level7 m0,1 i128,1 o0,0 high0,1 low0,0 mset255,255
fill sz13 level7 m0,0 i0,2 o0,0 high0,1 low0,0 mset255,255
fill sz14 level7 m0,1 i0,2 o0,0 high0,1 low0,0 mset255,255
fill sz15 level7 m0,0 i64,2 o0,0 high0,1 low0,0 mset255,255
fill sz16 level7 m0,1 i64,2 o0,0 high0,1 low0,0 mset255,255
fill sz17 level7 m0,0 i0,3 o0,0 high0,1 low0,0 mset255,255
fill sz18 level7 m0,1 i0,3 o0,0 high0,1 low0,0 mset255,255
fill sz19 level7 m0,0 i128,2 o0,0 high0,1 low0,0 mset255,255
fill sz20 level7 m0,1 i128,2 o0,0 high0,1 low0,0 mset255,255
fill sz21 level7 m0,0 i192,2 o0,0 high0,1 low0,0 mset255,255
fill sz22 level7 m0,1 i192,2 o0,0 high0,1 low0,0 mset255,255
fill sz23 level7 m0,0 i128,3 o0,0 high0,1 low0,0 mset255,255
fill sz24 level7 m0,1 i128,3 o0,0 high0,1 low0,0 mset255,255
fill sz25 level7 m0,0 i0,4 o0,0 high0,1 low0,0 mset255,255
fill sz26 level7 m0,1 i0,4 o0,0 high0,1 low0,0 mset255,255
fill sz27 level7 m0,0 i64,4 o0,0 high0,1 low0,0 mset255,255
fill sz28 level7 m0,1 i64,4 o0,0 high0,1 low0,0 mset255,255
fill sz29 level7 m0,1 i0,5 o0,0 high0,1 low0,0 mset255,255
fill sz30 level7 m0,0 i128,4 o0,0 high0,1 low0,0 mset255,255
fill sz31 level7 m0,1 i128,4 o0,0 high0,1 low0,0 mset255,255
fill sz32 level7 m0,0 i192,4 o0,0 high0,1 low0,0 mset255,255
fill sz33 level7 m0,1 i192,4 o0,0 high0,1 low0,0 mset255,255
fill sz34 level7 m0,1 i128,5 o0,0 high0,1 low0,0 mset255,255
fill sz35 level7 m0,0 i0,6 o0,0 high0,1 low0,0 mset255,255
fill sz36 level7 m0,1 i0,6 o0,0 high0,1 low0,0 mset255,255
fill sz37 level7 m0,0 i64,6 o0,0 high0,1 low0,0 mset255,255
fill sz38 level7 m0,1 i64,6 o0,0 high0,1 low0,0 mset255,255
fill sz39 level7 m0,1 i0,7 o0,0 high0,1 low0,0 mset255,255
fill sz40 level7 m0,0 i128,6 o0,0 high0,1 low0,0 mset255,255
fill sz41 level7 m0,1 i128,6 o0,0 high0,1 low0,0 mset255,255
fill sz42 level7 m0,0 i192,6 o0,0 high0,1 low0,0 mset255,255
fill sz43 level7 m0,1 i192,6 o0,0 high0,1 low0,0 mset255,255
fill sz44 level7 m0,1 i128,7 o0,0 high0,1 low0,0 mset255,255
fill sz45 level7 m0,0 i0,8 o0,0 high0,1 low0,0 mset255,255
fill sz46 level7 m0,1 i0,8 o0,0 high0,1 low0,0 mset255,255
fill sz47 level7 m0,0 i64,8 o0,0 high0,1 low0,0 mset255,255
fill sz48 level7 m0,1 i64,8 o0,0 high0,1 low0,0 mset255,255
fill sz49 level7 m0,0 i0,9 o0,0 high0,1 low0,0 mset255,255
fill sz50 level7 m0,1 i0,9 o0,0 high0,1 low0,0 mset255,255
fill sz51 level7 m0,0 i128,8 o0,0 high0,1 low0,0 mset255,255
fill sz52 level7 m0,1 i128,8 o0,0 high0,1 low0,0 mset255,255
fill sz53 level7 m0,0 i192,8 o0,0 high0,1 low0,0 mset255,255
fill sz54 level7 m0,1 i192,8 o0,0 high0,1 low0,0 mset255,255
fill sz55 level7 m0,0 i128,9 o0,0 high0,1 low0,0 mset255,255
fill sz56 level7 m0,1 i128,9 o0,0 high0,1 low0,0 mset255,255
